Exam,Type,Q#,Grade,Unit,Section,Cluster,Standard,Curriculum Notes: Grade 6 Overview and Standards Breakdown
Spring 2023,MC,21,6,7,"Rational Numbers - 6.7.15, 6.7.19",Geometry,NY-6.G.3,"From Grade 6, Unit 7, Lesson 14: ""Distances in the Coordinate Plane""
From the ""Finding Distances in a Coordinate Plane"" activity: 
""Find the distance between each pair of points: Points B and C, Points D and B, Points D and E
Which of the points are 5 units from (-1.5, -3)?
Which of the points are 2 units from (0.5, -4.5)?
Plot a point that is both 2.5 units from A and 9 units from E. Label that point M, and write down its coordinates."""
Spring 2023,MC,22,6,6,"Area & Surface Area / Expressions & Equations 6.1.5, 6.1.16, 6.1.19, 6.1.10, 6.6.6, 6.6.13, 6.6.14, 6.6.15",Expressions and Equations ,NY-6.EE.2c,"From Grade 6, Unit 6, Lesson 7: ""Write Expressions with Variables""
From the ""Building Expressions"" activity:
""Evaluate the expression 5x + y when x = 3 and y = 4. Show your work and explain each step."""
Spring 2023,MC,24,6,6,"Expressions & Equations - 6.6.9, 6.6.10, 6.6.11",Expressions and Equations ,NY-6.EE.3,"From Grade 6, Unit 6, Lesson 9: ""The Distributive Property, Part 1""
From the ""Ways to Represent Area of a Rectangle"" activity:
""Use the distributive property to show why 4(x + 3) is equivalent to 4x + 12. Draw a rectangle model to support your explanation and show each step"""
Spring 2023,MC,30,6,7,"Rational Numbers - 6.7.8, 6.7.9, 6.7.10, 6.7.19",Expressions and Equations ,NY-6.EE.8,"Grade 6, Unit 7, Lessons 8 ""Writing and Graphing Inequalities"" 
From the ""Amusement Park Rides"" activity:
Write equations and/or inequalities for the height requirements of each ride. Use h for the unknown height. Then, represent each height requirement on a number line."" For example: ""Twirl-O-Coaster: 58 inches minimum"" → h ≥ 58"
Spring 2023,MC,31,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.3.10 - 6.3.16, 6.6.7",Ratios and Proportional Relationships,NY-6.RP.3c,"From Grade 6, Unit 3, Lesson 13: ""Lesson 13: Benchmark Percentages""
From the ""Nine is . . ."" activity:
Calculate each value mentally. Be prepared to explain your reasoning.
""9 is 50% of what number? 9 is 25% of what number? 9 is 10% of what number? 9 is 75% of what number? 9 is 150% of what number?"""
Spring 2023,MC,32,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.3.2, 6.3.3, 6.3.4, 6.3.9",Ratios and Proportional Relationships,NY-6.RP.3a,"From Grade 6, Unit 3, Lesson 7: ""More Rate Comparisons""
Fom the ""Card Sort: Is it a Deal?"" activity:
""Mai and Tyler are both saving money for new bikes. They both start with 0 and save at a constant rate. After 4 months, Mai has saved 120 and Tyler has saved $80. After 12 months, how much more money will Mai have saved than Tyler? Show your work using what you know about rates and proportional relationships."""
Spring 2023,MC,33,6,4,"Dividing Fractions - 6.4.14, 6.4.15, 6.4.17,",Geometry,NY-6.G.2,"Grade 6, Unit 4, Lesson 15: ""Volume of Prisms""
From the ""Fish Tank"" activity:
""A nature center has a fish tank in the shape of a rectangular prism. The tank is 10 feet long, 8¼ feet wide, and 6 feet tall.
What is the volume of the tank in cubic feet? Show your reasoning."""
Spring 2023,MC,34,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.8, 6.2.9, 6.2.10, 6.3.5, 6.3.6, 6.3.7, 6.3.8, 6.3.9, 6.6.16, 6.6.17",Ratios and Proportional Relationships,NY-6.RP.3b,"From Grade 6, Unit 3, Lesson 8: ""Solving Rate Problems""
From the ""Climbing the Burj Khalifa"" activity:
""A professional climber scaled 828 meters in 6 hours. Assuming he climbed at the same rate the whole way, how far did he climb in the first 2 hours?"""
Spring 2023,MC,35,6,6,"Expressions & Equations - 6.6.9, 6.6.10, 6.6.11",Expressions and Equations ,NY-6.EE.3,"From Grade 6, Unit 6, Lesson 9: ""The Distributive Property, Part 1""
From the ""Ways to Represent Area of a Rectangle"" activity:
""Use the distributive property to show why 4(x + 3) is equivalent to 4x + 12. Draw a rectangle model to support your explanation and show each step"""
Spring 2023,MC,36,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.8, 6.2.9, 6.2.10, 6.3.5, 6.3.6, 6.3.7, 6.3.8, 6.3.9, 6.6.16, 6.6.17",Ratios and Proportional Relationships,NY-6.RP.3b,"From Grade 6, Unit 3, Lesson 8: ""Solving Rate Problems""
From the ""Climbing the Burj Khalifa"" activity:
""A professional climber scaled 828 meters in 6 hours. Assuming he climbed at the same rate the whole way, how far did he climb in the first 2 hours?"""
Spring 2023,CR,37,6,1 Area and Surface Area,6.1 Section C: Triangles and Other Polygons,Geometry,NY-6.G.1,"From Grade 6, Unit 1, Lesson 9: ""Formula for the Area of a Triangle""
From the ""Applying the Formula for Area of Triangles"" activity:
""Look at Triangle C. It has a base of 7 units and a height (perpendicular distance to the opposite vertex) of 3 units. Find its area. Then look at Triangle E, which has a base of 6 units and a height of 5 units. How does its area compare to Triangle C? Explain your reasoning."""
Spring 2023,CR,38,6,7,"Rational Numbers - 6.7.3, 6.7.7",The Number System,NY-6.NS.7b,"From Grade 6, Unit 7, Lesson 9: ""Solutions of Inequalities""
From the ""Amusement Park Rides"" activity
""The inequalities  h<75 and h>64 represent the height restrictions, in inches, of another ride. Write three values that are solutions to both of these inequalities."""
Spring 2023,CR,39,6,2 Introducing Ratios,6.2 Section A: What are ratios?,Ratios and Proportional Relationships,NY-6.RP.1,"From Grade 6, Unit 2, Lesson 2: ""Representing Ratios with Diagrams""
From the ""Blue Paint and Play Clay"" activity
""Describe to a partner a ratio that you see, using the ratio language we learned."""
Spring 2023,CR,40,6,6,"Expressions & Equations - 6.6.3, 6.6.4, 6.6.5, 6.6.7, 6.6.9,6.6.19",Expressions and Equations ,NY-6.EE.7,"From Grade 6, Unit 6, Lesson 19: ""Tables, Equations, and Graphs, Oh My!""
From the ""Getting to Know an Equation"" activity:
S−2=T.  S is the number of sides on a polygon. T is the number of triangles you can draw inside the polygon (from one vertex to the others, without overlapping)."
Spring 2023,CR,41,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.10, 6.3.1, 6.3.5, 6.3.6, 6.3.7",Ratios and Proportional Relationships,NY-6.RP.2,"Grade 6, Unit 3, Lesson 5: ""Interpreting Rates""
From the ""Laundry Detergent and Raffle Tickets"" activity:
A laundry service uses 10 gallons of detergent every 6 weeks. a. How many gallons of detergent does the laundry service use per week? b. How many weeks does it take the laundry service to use 1 gallon of detergent? c. How many weeks will it take the laundry service to finish 3 gallons of detergent?"""
Spring 2023,CR,42,6,4,"Dividing Fractions - 6.4.1-6.4.14, 6.4.16, 6.4.17",The Number System,NY-6.NS.1,"Grade 6, Unit 4, Lesson 16: ""Solving Problems Involving Fractions"" 
Question D1.& D2. from Activity 2 ""Pairs of Problems"""
Spring 2023,CR,43,6,6,"Expressions & Equations - 6.6.12, 6.6.13, 6.6.14, 6.6.15",Expressions and Equations ,NY-6.EE.1,"From Grade 6, Unit 6, Lesson 14: ""Evaluating Expressions with Exponents""
From the ""Row Game: Expression Explosion"" activity:
""A student evaluates 3 × 4² as follows: Step 1: 3 × 4 = 12 Step 2: 12² = 144 What is incorrect about the student's work? Show the correct way to evaluate this expression using order of operations."""
Spring 2023,CR,44,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.8, 6.2.9, 6.2.10, 6.3.5, 6.3.6, 6.3.7, 6.3.8, 6.3.9, 6.6.16, 6.6.17",Ratios and Proportional Relationships,NY-6.RP.3b,"Grade 6, Unit 3, Lesson 6: ""Equivalent Ratios Have the Same Unit Rates""
From the ""Binders and Notebooks"" activity:
Two binders cost $14 and 5 binders cost $35. Complete the table to show the cost for 4 binders and 10 binders at that rate. Next, find the cost for a single binder in each case, and record those values in the third column."
Spring 2023,CR,45,6,4,"Dividing Fractions - 6.4.14, 6.4.15, 6.4.17,",Geometry,NY-6.G.2,"Grade 6, Unit 4, Lesson 15: ""Volume of Prisms""
From the ""Fish Tank"" activity:
""A nature center has a fish tank in the shape of a rectangular prism. The tank is 10 feet long, 8¼ feet wide, and 6 feet tall.
What is the volume of the tank in cubic feet? Show your reasoning."""
Spring 2023,CR,46,6,6,"Expressions & Equations - 6.6.16, 6.6.17, 6.6.18, 6.6.19",Expressions and Equations ,NY-6.EE.9,"From Grade 6, Unit 6, Lesson 18: ""More Relationships""
From the ""Making a Banner"" activity:
""A movie theater charges $8 per ticket. Given the equation c = 8t, where t is the number of tickets purchased and c is the total cost in dollars, what is the relationship between t and c? Be sure to identify which variable is independent and which is dependent in your answer."""
